date, pm25, pm10, o3, no2, so2, co
2024/6/3, 28, 17, 32, 16, 1, 3
2024/6/4, 35, 8, 31, 14, , 3
2024/6/5, 30, 5, 39, 9, , 3
2024/6/6, 20, 16, 37, 9, , 2
2024/6/7, 25, 21, 46, 8, , 2
2024/6/8, 42, 10, 26, 7, , 2
2024/6/9, 27, 12, 23, 5, , 1
2024/6/10, 21, 9, 22, 4, , 1
2024/6/11, 9, 11, 22, 4, , 1
2024/6/12, 18, 10, 21, 5, , 1
2024/6/13, 20, 10, 20, 4, , 1
2024/6/14, 18, 17, 22, 5, , 1
2024/6/15, 33, 15, 26, 7, , 1
2024/6/16, 30, 15, 18, 6, , 1
2024/6/17, 31, 10, 22, 5, , 1
2024/6/18, 24, 9, 23, 6, , 1
2024/6/19, 17, 9, 15, 7, , 1
2024/6/20, 23, 8, 18, 6, , 1
2024/6/21, 14, 11, 21, 6, 1, 1
2024/6/22, 17, 12, 22, 5, 1, 1
2024/6/23, 21, 11, 28, 6, 1, 1
2024/6/24, 22, 12, 25, 9, 1, 1
2024/6/25, 24, 10, 25, 7, , 1
2024/6/26, 21, 12, 37, 5, , 1
2024/6/27, 23, 14, 36, 6, , 1
2024/6/28, 31, 16, 24, 5, , 1
2024/6/29, 26, 9, 19, 4, , 1
2024/6/30, 14, 12, 21, 5, , 1
2024/1/1, 86, 27, 35, 14, 1, 4
2024/1/2, 65, 27, 34, 9, 1, 3
2024/1/3, 67, 29, 31, 12, 1, 4
2024/1/4, 67, 40, 45, 15, 1, 4
2024/1/5, 86, 36, 41, 15, 1, 4
2024/1/6, 88, 36, 47, 8, 2, 3
2024/1/7, 79, 23, 37, 9, 1, 2
2024/1/8, 53, 19, 28, 10, 1, 2
2024/1/9, 52, 30, 41, 10, 1, 4
2024/1/10, 84, 30, 36, 11, 2, 3
2024/1/11, 79, 20, 35, 16, 1, 4
2024/1/12, 62, 10, 36, 9, 1, 2
2024/1/13, 40, 20, 57, 16, 1, 4
2024/1/14, 65, 34, 38, 11, 1, 4
2024/1/15, 81, 16, 37, 8, 1, 2
2024/1/16, 49, 18, 33, 17, 1, 4
2024/1/17, 50, 32, 33, 19, 2, 4
2024/1/18, 71, 27, 30, 13, 1, 2
2024/1/19, 67, 24, 21, 10, 1, 3
2024/1/20, 62, 13, 22, 7, 1, 4
2024/1/21, 49, 3, 26, 6, 1, 3
2024/1/22, 27, 11, 29, 8, 1, 3
2024/1/23, 46, 19, 27, 10, 1, 2
2024/1/24, 61, 18, 26, 14, 2, 3
2024/1/25, 69, 25, 24, 14, 1, 3
2024/1/26, 72, 31, 31, 13, 1, 4
2024/1/27, 86, 39, 38, 11, 2, 4
2024/1/28, 106, 22, 41, 12, 1, 4
2024/1/29, 67, 28, 28, 19, , 5
2024/1/30, 84, 25, 32, 18, 1, 6
2024/1/31, 77, 20, 36, 20, 1, 6
2024/2/1, 67, 19, 26, 14, 1, 4
2024/2/2, 62, 14, 26, 11, , 3
2024/2/3, 51, 14, 28, 9, , 3
2024/2/4, 50, 8, 25, 12, , 4
2024/2/5, 36, 17, 26, 12, 1, 4
2024/2/6, 55, 5, 27, 7, 2, 2
2024/2/7, 26, 11, 33, 6, 1, 3
2024/2/8, 45, 25, 36, 5, , 4
2024/2/9, 73, 48, 46, 7, 1, 5
2024/2/10, 118, 34, 43, 7, 1, 3
2024/2/11, 83, 29, 47, 11, 1, 3
2024/2/12, 73, 36, 40, 16, 3, 4
2024/2/13, 87, 20, 37, 13, , 3
2024/2/14, 62, 24, 31, 15, 1, 4
2024/2/15, 65, 20, 28, 9, 1, 2
2024/2/16, 50, 51, 31, 14, 1, 4
2024/2/17, 72, 31, 40, 17, 1, 5
2024/2/18, 80, 22, 37, 14, 2, 3
2024/2/19, 63, 23, 31, 12, 1, 3
2024/2/20, 62, 26, 29, 12, 1, 3
2024/2/21, 62, 22, 20, 11, 1, 3
2024/2/22, 54, 10, 21, 8, 1, 3
2024/2/23, 35, 16, 21, 8, 1, 4
2024/2/24, 52, 12, 29, 6, 1, 3
2024/2/25, 46, 21, 31, 9, 1, 4
2024/2/26, 62, 15, 32, 9, 1, 3
2024/2/27, 51, 27, 32, 10, , 3
2024/2/28, 69, 20, 32, 12, 1, 4
2024/2/29, 63, 8, 35, 8, 1, 3
2024/3/1, 39, 10, 36, 8, 1, 2
2024/3/2, 46, 14, 35, 8, , 3
2024/3/3, 52, 36, 37, 17, 1, 5
2024/3/4, 83, 36, 28, 14, 1, 4
2024/3/5, 77, 14, 31, 9, , 3
2024/3/6, 50, 27, 37, 9, 1, 3
2024/3/7, 68, 45, 52, 9, 1, 3
2024/3/8, 82, 36, 46, 9, 2, 3
2024/3/9, 72, 27, 39, 12, 1, 4
2024/3/10, 66, 25, 25, 17, 1, 3
2024/3/11, 64, 31, 52, 12, 1, 3
2024/3/12, 63, 50, 51, 9, 2, 3
2024/3/13, 83, 47, 32, 21, 2, 5
2024/3/14, 94, 47, 12, 24, 1, 5
2024/3/15, 102, 50, 15, 22, , 5
2024/3/16, 121, 33, 36, 14, 1, 5
2024/3/17, 88, 48, 33, 10, 1, 2
2024/3/18, 78, 15, 41, 8, 1, 2
2024/3/19, 46, 66, 51, 6, 1, 2
2024/3/20, 76, 51, 79, 11, 2, 3
2024/3/21, 74, 48, 54, 15, 2, 4
2024/3/22, 84, 33, 49, 12, 1, 3
2024/3/23, 74, 31, 32, 9, 1, 3
2024/3/24, 69, 30, 24, 10, 1, 2
2024/3/25, 66, 22, 42, 10, 1, 3
2024/3/26, 61, 22, 45, 10, 1, 3
2024/3/27, 54, 31, 43, 9, 1, 3
2024/3/28, 64, 28, 58, 11, 2, 4
2024/3/29, 71, 28, 43, 12, 1, 4
2024/3/30, 81, 24, 27, 8, , 3
2024/3/31, 65, 16, 50, 9, , 3
2023/10/1, 41, 25, 39, 7, , 2
2023/10/2, 48, 24, 36, 6, 1, 1
2023/10/3, 37, 19, 33, 4, , 2
2023/10/4, 43, 10, 36, 3, , 1
2023/10/5, 22, 21, 31, 10, , 2
2023/10/6, 46, 21, 33, 9, , 2
2023/10/7, 39, 14, 34, 5, , 2
2023/10/8, 20, 12, 39, 5, , 1
2023/10/9, 23, 8, 34, 5, , 2
2023/10/10, 20, 17, 45, 6, , 2
2023/10/11, 34, 19, 40, 8, 1, 2
2023/10/12, 36, 21, 44, 9, 1, 2
2023/10/13, 36, 21, 51, 11, 2, 3
2023/10/14, 50, 28, 63, 6, 2, 3
2023/10/15, 69, 30, 58, 7, , 3
2023/10/16, 70, 29, 69, 8, , 3
2023/10/17, 71, 35, 75, 16, 2, 5
2023/10/18, 82, 41, 89, 10, 1, 4
2023/10/19, 96, 23, 39, 7, 1, 3
2023/10/20, 56, 13, 31, 6, , 2
2023/10/21, 29, 7, 29, 5, , 2
2023/10/22, 17, 13, 40, 12, 1, 3
2023/10/23, 28, 23, 44, 13, 1, 3
2023/10/24, 54, 15, 32, 10, 1, 2
2023/10/25, 37, 20, 53, 11, 1, 3
2023/10/26, 54, 17, 33, 11, 1, 2
2023/10/27, 42, 10, 36, 8, , 2
2023/10/28, 24, 15, 34, 8, 1, 2
2023/10/29, 37, 14, 33, 10, 2, 2
2023/10/30, 34, 11, 33, 8, 1, 2
2023/10/31, 27, 10, 32, 9, , 2
